"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"W tym umieszczonych w części A spisu wyborców";"W tym umieszczonych w części B spisu wyborców";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym";"W tym w części A spisu wyborców";"W tym w części B spisu wyborców";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY POLEXIT";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"KOMITET WYBORCZY WYBORCÓW GŁOS SILNEJ POLSKI"
"dolnośląskie";2348;2348;2096855;2180524;2180125;399;1198209;898632;898451;181;340;898972;941;10378;328;20;1;3;1;303;898894;302;64;898830;5285;2993;2292;0;893545;364255;86423;43640;104530;;2237;;281434;;11026;
"kujawsko-pomorskie";1937;1937;1474893;1530806;1530741;65;926674;548195;548165;30;201;548396;601;6279;194;12;0;0;2;180;548358;180;30;548328;3650;2375;1275;0;544678;241737;25660;43482;55789;;1480;1309;170474;;4747;
"lubelskie";2202;2202;1571107;1623766;1623706;60;948509;622597;622570;27;234;622831;832;5098;230;26;0;0;0;204;622789;204;40;622749;3586;2086;1500;0;619163;161002;20381;43013;93542;;1864;;292019;;7342;
"lubuskie";901;901;724701;748528;748452;76;458006;266688;266655;33;102;266790;259;2565;97;5;0;0;1;91;266763;91;14;266749;1804;1060;744;0;264945;115948;26038;14119;25146;;699;;80231;;2764;
"łódzkie";1940;1940;1808815;1854108;1854000;108;1046810;762061;762007;54;237;762298;816;5358;230;7;1;0;3;220;762237;220;58;762179;4217;2297;1920;0;757962;252318;75285;44780;83098;;1868;1699;292596;;6318;
"małopolskie";2746;2746;2525029;2627378;2626945;433;1389630;1135396;1135179;217;520;1135916;1267;12503;511;15;4;0;3;492;1135823;492;84;1135739;5586;3055;2531;0;1130153;328023;53714;80048;165712;3213;2944;877;487149;;8473;
"mazowieckie";4021;4021;3972103;4123048;4121962;1086;2036700;1935424;1934897;527;696;1936120;1888;21019;654;30;3;0;0;621;1935887;620;190;1935697;9317;4805;4512;0;1926380;711542;143492;152165;233314;1596;4283;733;657573;1426;18089;2167
"opolskie";1024;1024;716443;741293;741245;48;462829;253610;253585;25;65;253675;275;1867;62;3;0;0;0;59;253668;59;4;253664;1684;1003;681;0;251980;112224;14939;12448;29592;;698;;79124;;2955;
"podkarpackie";1938;1938;1597572;1653384;1653332;52;961235;636333;636305;28;217;636550;902;4602;208;11;0;1;0;197;636496;197;24;636472;3846;2177;1669;0;632626;150131;13082;29767;96376;;1516;;334439;;7315;
"podlaskie";1073;1073;864107;894647;894607;40;529785;334323;334309;14;115;334438;379;3203;105;3;0;0;0;102;334414;101;16;334398;2018;1009;1009;0;332380;97565;9581;31801;48488;1377;820;;139886;;2862;
"pomorskie";1727;1727;1686454;1753592;1753349;243;939425;746998;746861;137;282;747280;653;19091;276;14;3;0;0;259;747212;259;63;747149;3727;1957;1770;0;743422;379577;34570;40139;69654;;2417;;208676;;8389;
"śląskie";2877;2877;3193188;3322289;3322118;171;1854482;1338719;1338619;100;607;1339326;1662;9212;582;25;1;3;3;550;1339206;550;83;1339123;7002;3554;3448;0;1332121;551782;61653;74125;135195;6248;2861;2082;485505;3311;9359;
"świętokrzyskie";1226;1226;936543;955702;955659;43;575650;360893;360866;27;101;360994;474;3468;97;3;2;0;1;91;360970;91;10;360960;2365;1484;881;0;358595;73348;16689;51058;44841;737;760;316;168628;;2218;
"warmińsko-mazurskie";1315;1315;1027973;1065787;1065709;78;670124;357903;357877;26;117;358020;363;6037;113;4;1;0;0;108;357999;108;22;357977;2831;1692;1139;0;355146;159324;15195;22286;38900;1677;923;;112752;;4089;
"wielkopolskie";2844;2844;2554763;2642860;2642654;206;1520050;1034722;1034608;114;290;1035012;912;7152;281;13;0;1;3;265;1034911;265;54;1034857;7036;4303;2733;0;1027821;399299;82845;94951;135416;5460;2366;2437;297286;;7761;
"zachodniopomorskie";1405;1405;1222835;1270026;1269840;186;725137;497715;497653;62;153;497868;511;24782;151;4;0;4;0;143;497801;143;29;497772;3344;2047;1297;0;494428;221872;45878;30071;44992;;1249;;145855;;4511;
